frame,score
frame_000329.png,0.343551
frame_000330.png,0.279927
frame_000331.png,0.329657
frame_000332.png,0.317604
frame_000333.png,0.357330
frame_000334.png,0.300841
frame_000335.png,0.339404
frame_000336.png,0.334288
frame_000337.png,0.367687
frame_000338.png,0.298293
frame_000339.png,0.339105
frame_000340.png,0.322205
frame_000341.png,0.387546
frame_000342.png,0.295278
frame_000343.png,0.360426
frame_000344.png,0.351283
frame_000345.png,0.377269
frame_000346.png,0.318220
frame_000347.png,0.371732
frame_000348.png,0.363899
frame_000349.png,0.376819
frame_000350.png,0.314905
frame_000351.png,0.366163
frame_000352.png,0.356289
frame_000353.png,0.396157
frame_000354.png,0.321630
frame_000355.png,0.367249
frame_000356.png,0.350843
frame_000357.png,0.383175
frame_000358.png,0.324732
frame_000359.png,0.372467
frame_000360.png,0.365050
frame_000361.png,0.376173
frame_000362.png,0.356188
frame_000363.png,0.374824
frame_000364.png,0.374061
frame_000365.png,0.393794
frame_000366.png,0.333385
frame_000367.png,0.378169
frame_000368.png,0.374755
frame_000369.png,0.397803
frame_000370.png,0.329865
frame_000371.png,0.384718
frame_000372.png,0.386881
frame_000373.png,0.404311
frame_000374.png,0.345220
frame_000375.png,0.386314
frame_000376.png,0.384489
frame_000377.png,0.405814
frame_000378.png,0.346775
frame_000379.png,0.399097
frame_000380.png,0.378194
frame_000381.png,0.415095
frame_000382.png,0.345671
frame_000383.png,0.393256
frame_000384.png,0.392614
frame_000385.png,0.418893
frame_000386.png,0.363646
frame_000387.png,0.408210
frame_000388.png,0.392054
frame_000389.png,0.420812
frame_000390.png,0.374495
frame_000391.png,0.410258
frame_000392.png,0.411715
frame_000393.png,0.435893
frame_000394.png,0.375503
frame_000395.png,0.423733
frame_000396.png,0.417421
frame_000397.png,0.434539
frame_000398.png,0.400685
frame_000399.png,0.431578
frame_000400.png,0.434041
frame_000401.png,0.452037
frame_000402.png,0.392056
frame_000403.png,0.433428
frame_000404.png,0.449250
frame_000405.png,0.457135
frame_000406.png,0.417994
frame_000407.png,0.450104
frame_000408.png,0.440739
frame_000409.png,0.479309
